"medicine_name","category","rxcui","source"
"2-naphthalenesulfonate","RxNav Ingredient","1366947","RxNav"
"2-nitropropane","RxNav Ingredient","2372437","RxNav"
"2-nonylphenol","RxNav Ingredient","2625123","RxNav"
"2-o-ethyl ascorbic acid","RxNav Ingredient","1313221","RxNav"
"2-octanol","RxNav Ingredient","1362615","RxNav"
"2-octyl cyanoacrylate","RxNav Ingredient","2533837","RxNav"
"2-octyldodecyl 5-oxo-l-prolinate","RxNav Ingredient","2559600","RxNav"
"2-oleamido-1,3,4-octadecatriyl prolinate","RxNav Ingredient","1993215","RxNav"
"2-phenyldodecane-p-sulfonate","RxNav Ingredient","2571860","RxNav"
"2-phenylphenol","RxNav Ingredient","236677","RxNav"
"2-propanol, 1,1'-oxybis(3-(1-naphthalenyloxy))-","RxNav Ingredient","2637686","RxNav"
"2-propenoic acid, 2-cyano-3,3-diphenyl-2,2-bis(((2-cyano-1-oxo-3,3-diphenyl-2-propenyl)oxy)methyl)-1,3-propanediyl ester","RxNav Ingredient","2372916","RxNav"
"2-propenoic acid, 3-hydroxypropyl ester","RxNav Ingredient","2689781","RxNav"
"2-propoxy-1-propanol","RxNav Ingredient","1356481","RxNav"
"2-pyrrolidone","RxNav Ingredient","1358473","RxNav"
"2-sec-butyl cyclohexanone","RxNav Ingredient","2383930","RxNav"
"2-sulfolaurate","RxNav Ingredient","1370581","RxNav"
"2-sulfopalmitate","RxNav Ingredient","1486522","RxNav"
"2-tert-butylcyclohexyl acetate","RxNav Ingredient","2383539","RxNav"
"2-tert-butylcyclohexyloxybutanol","RxNav Ingredient","1860086","RxNav"
"2-tert-butylhydroquinone","RxNav Ingredient","1362739","RxNav"
"2-trimethylammonioethyl methacrylate","RxNav Ingredient","2539175","RxNav"
"2h-tricosafluoro-5,8,11,14-tetrakis(trifluoromethyl)-3,6,9,12,15-pentaoxaoctadecane","RxNav Ingredient","1872907","RxNav"
"3'-hydroxyacetophenone","RxNav Ingredient","2560214","RxNav"
"3,3'-dihydroxydipropyl ether","RxNav Ingredient","2374914","RxNav"
"3,3'-diindolylmethane","RxNav Ingredient","1603521","RxNav"
"3,4,9,10-perylenetetracarboxylic diimide","RxNav Ingredient","1491869","RxNav"
"3,4-methylenedioxybenzoyl methylsulfone","RxNav Ingredient","1995882","RxNav"
"3,5,5-trimethylhexanal","RxNav Ingredient","2367408","RxNav"
"3,5,5-trimethylhexyl acetate","RxNav Ingredient","2395767","RxNav"
"3,7,11,15-tetramethyl-1,2,3-hexadecanetriol","RxNav Ingredient","1368211","RxNav"
"3,7-dimethyl-1-octanol","RxNav Ingredient","1601994","RxNav"
